PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086694	1472049604667	1472049604984	SHIFT	16
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086693	1472049604870	1472049604937	P	80
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086695	1472049605078	1472049605153	l	76
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086696	1472049605200	1472049605301	e	69
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086697	1472049605364	1472049605467	a	65
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086698	1472049605561	1472049605700	s	83
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086742	1472049605747	1472049605867	e	69
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086743	1472049605900	1472049606002	 	32
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086746	1472049606127	1472049606220	p	80
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086748	1472049606345	1472049606437	a	65
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086750	1472049606671	1472049606736	s	83
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086775	1472049606833	1472049606923	s	83
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086777	1472049606985	1472049607103	 	32
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086781	1472049607134	1472049607220	a	65
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086786	1472049607282	1472049607370	l	76
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086790	1472049607479	1472049607538	o	79
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086818	1472049607641	1472049607751	n	78
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086819	1472049607782	1472049607854	g	71
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086820	1472049607916	1472049608027	 	32
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086822	1472049608168	1472049608237	m	77
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086824	1472049608378	1472049608453	y	89
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086831	1472049608530	1472049608619	 	32
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086834	1472049608650	1472049608736	t	84
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086839	1472049608752	1472049608837	h	72
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086845	1472049608884	1472049608969	a	65
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086851	1472049608984	1472049609069	n	78
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086880	1472049609154	1472049609236	k	75
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086882	1472049609283	1472049609385	s	83
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086884	1472049609479	1472049609569	,	188
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086886	1472049609648	1472049609750	 	32
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086888	1472049609828	1472049609872	t	84
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086893	1472049609961	1472049610052	h	72
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086894	1472049610130	1472049610273	o	79
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086896	1472049610234	1472049610351	u	85
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086899	1472049610398	1472049610486	g	71
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086903	1472049610533	1472049610621	h	72
9989	106654	Please pass along my thanks, though.	Please pass along my thanks, though.	5086982	1472049611278	1472049611368	.	190
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087122	1472049615354	1472049615670	SHIFT	16
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087124	1472049615589	1472049615701	W	87
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087127	1472049615811	1472049615902	e	69
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087129	1472049615981	1472049616085	 	32
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087132	1472049616552	1472049616605	j	74
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087135	1472049616699	1472049616770	u	85
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087178	1472049616784	1472049616870	s	83
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087180	1472049616979	1472049617064	t	84
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087183	1472049617506	1472049617571	 	32
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087186	1472049617727	1472049617789	p	80
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087190	1472049617945	1472049618005	u	85
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087213	1472049618183	1472049618254	l	76
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087215	1472049618332	1472049618404	l	76
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087220	1472049618451	1472049618495	e	69
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087225	1472049618616	1472049618703	d	68
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087230	1472049618784	1472049618869	 	32
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087248	1472049618906	1472049618988	s	83
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087249	1472049619147	1472049619237	c	67
9989	106665	We just pulled schedules from the web.	We just pulled schedules from the web.	5087251	1472049619315	1472049619403	h	72
